LIB	genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads
1743C	all_scaffolds	124.46165918950533	0.9905215925293214	0.0014609468795153	4997886	1828	1665	116	131.74351983613678	0.0610924989099028	0.9841238875796688	1.0	0.0012614083321329	0.99939107934287	0.9996379006042242		False	37005.0	104.98138089447372	0.478250444266272	0.9499361939430484	2995	1781	1759	9224	3917024	3965687	0.9868393301805924	9173528	10983
1743D	all_scaffolds	62.970313486947234	0.9771915319430524	0.0012418854840656	4652921	2723	2246	56	234.87934963948103	0.1154323996797337	0.9563203415660828	1.0	0.0011418922007343	0.9994799629546643	0.9996058146164568		False	12023.0	56.323047492306415	0.5682533353917987	0.9441233684225212	2314	1754	1748	5439	1826795	1861727	0.9650026331915488	5237706	7187
1743E	all_scaffolds	43.30645781434931	0.9756578716896332	0.001191644172705	4652921	2723	2229	39	160.81151695140355	0.0790314658412118	0.9497042825356372	1.0	0.0012493836814802	0.9995401569485972	0.9996372399550204		False	9306.0	49.691811734364926	0.5701692249989941	0.9463094357995216	2032	1603	1599	4846	1253475	1276983	0.966703238827783	6445	3563047
1743F	all_scaffolds	35.56911475608548	0.97201478383149	0.0011466690707215	4652921	2723	2181	33	127.64376621212058	0.0627310415353232	0.9412143468586722	0.9999999999999772	0.0013829596862602	0.9995437727029024	0.9996456132306828		False	7700.0	49.93090909090909	0.5783841699838926	0.945269492450212	1998	1552	1549	4577	1035072	1054014	0.9666139758232573	6126	3003299
1821A	all_scaffolds	45.79050153725433	0.5660144742056531	0.000930657658142	4047476	454	277	5	73.03189793499182	0.0366909510323274	0.4949042316742582	1.0	0.0005532091415704	0.958978350197917	0.95940368815938		False	8691.0	91.47670003451849	0.5281693762718646	0.963051522585127	82171	81319	81245	3474	1094453	2745450	0.8728601587478406	5802322	84719
1821B	all_scaffolds	61.98021878326147	0.5914527967553113	0.0012989902537548	4047476	454	288	6	216.3109006901987	0.1086737835027567	0.5008457122414067	1.0	0.0006908681331834	0.9578898765317604	0.9587482198009928		False	14206.0	86.40919329860623	0.5825539471353506	0.9581507503785824	85364	83624	83522	4761	1485684	3669566	0.8715579006894395	7763470	88283
1821C	all_scaffolds	208.48060050263425	0.9974376623851506	0.000565253542718	4047476	454	403	206	98.20520191288082	0.0493379243370165	0.9955769966270336	1.0	0.0005366200696736	0.999923565121276	0.9999766724720776	1.3609182673984597	False	16379.0	138.40826668294767	0.4873797458177284	0.951515728260218	308	94	145	2375	4967734	4985926	0.9951024761230464	10359141	2520
1821D	all_scaffolds	210.7234417244679	0.9393589897423316	0.0014023599899545	3350274	504	363	222	245.8593124770924	0.1361892882251665	0.9070198437500931	1.0	0.0009424870381835	0.9920786898624936	0.9927171071142388		False	14905.0	105.85904059040593	0.5349755897912846	0.9699897399192234	24071	22131	21960	8974	4174100	4409215	0.9614366665373052	9905352	30934
1821E	all_scaffolds	251.4428393020989	0.9944837347631864	0.000637805235038	3350274	504	417	245	152.04118707891897	0.08422044640313	0.9908873125004104	1.0	0.0006197461982487	0.999931320005398	0.999984938597675	1.1799971279238366	False	6411.0	142.22367805334582	0.4717122669434493	0.9604334509086728	228	50	64	2405	4974727	4999336	0.9905391142397936	10700678	2469
1821F	all_scaffolds	153.86650644096574	0.9282013948709866	0.0011447186285351	3350274	504	364	163	126.29294770469996	0.0699576781634571	0.9186197905007172	1.0	0.0008249289173694	0.9924204614722768	0.9928389655929828		False	7882.0	101.04706927175845	0.5192701068438446	0.9577386915200504	23327	22039	21897	7388	3045792	3209759	0.9723392716271856	29285	6906096
1821G	all_scaffolds	151.5610717140694	0.996582859976116	0.000723705526475	3880438	520	440	150	57.23790802515684	0.0294221762481179	0.9944245984602768	1.0	0.0006970558181064	0.9998621334128744	0.9999689022735808	1.3239781863474007	False	26834.0	134.38089736900946	0.5129844867895759	0.9616295079164812	532	120	127	3894	3459275	3479340	0.9928827361721412	7321394	4021
1821H	all_scaffolds	102.02313475952973	0.9637301253105964	0.0010945922321878	3880438	520	412	105	69.98956767427804	0.0359769507078616	0.953756766633045	1.0	0.0008594633953837	0.9946173919763176	0.9949418993924336		False	36330.0	108.89606385906964	0.5723328038130251	0.9684941371105612	19921	18720	18666	7916	2325859	2467555	0.9782135406212726	26582	5259016
1821I	all_scaffolds	88.55447503606551	0.9622849276293036	0.0009766710242928	3880438	520	405	89	62.55223063910885	0.0321539136924412	0.9525602522189506	1.0	0.0007814123266886	0.9948579017522956	0.9951698310036032		False	31205.0	99.92373017144688	0.5875717526853153	0.9721704054956024	19007	17854	17790	7765	2015116	2135874	0.9786207585612492	4540296	25555
2373B	all_scaffolds	96.4367112344834	0.9914769708134205	0.0013523794833622	5015353	542	498	93	74.35234229551641	0.0335585768587006	0.9891698550431046	1.0	0.0013108945690517	0.9999268297992596	0.9999766177870912	1.4180652830443363	False	15832.0	81.23755684689237	0.707250263055139	0.961227371118449	363	116	110	3106	1510048	1521690	0.9926469295218642	3216	3156521
2373C	all_scaffolds	112.82222647139692	0.786823180741216	0.0026486986329623	5015353	542	437	136	108.5361187531757	0.0489872621449767	0.764140231006671	1.0	0.0015699821652854	0.985499028945842	0.9864516874789462		False	85532.0	80.42255530094	0.6964633653999803	0.9788988539808912	55574	51923	51241	17336	1715147	2024492	0.8865462671144977	68577	4296199
2373D	all_scaffolds	136.6244611296553	0.7851549033537619	0.0024183960403854	5015353	542	420	167	116.93482383327316	0.0527779778271242	0.7623726585147645	1.0	0.0013916833921055	0.9851557498127403	0.986118201637842		False	98055.0	108.56083830503287	0.6740396273475918	0.9785453212274138	56758	53078	52319	16245	1798940	2115108	0.8699674655130845	68564	4619772
2373E	all_scaffolds	129.1949541737142	0.7957844642241533	0.0023853028655242	5015353	542	434	156	131.92269026563682	0.0595426802169875	0.7744589463593091	1.0	0.0013469031922334	0.9851688320715928	0.986046751120248		False	73297.0	78.8230077629371	0.6830882510222415	0.9806254621798468	57607	54197	53456	15412	1781998	2102917	0.8978151189600048	68868	4485361
2373F	all_scaffolds	121.01046008127445	0.8033671807348356	0.0030154592297561	5015353	542	444	145	114.82996444590896	0.0518279595311723	0.7812171944826216	1.0	0.0019377457944734	0.9857157076935642	0.986657240280954		False	90850.0	75.94553659878922	0.6811851588226955	0.9792240722290544	55967	52278	51597	18662	1855744	2190486	0.8867825537566258	4568353	70259
772A	all_scaffolds	753.2117965188864	0.9992231963742684	0.0035420205972278	3909611	1253	1251	757	391.5023230066413	0.2044812328081996	0.9980399584511094	1.0	0.0032640885685579	0.9997142452949144	0.9998882609404328		False	40092.0	135.1446423226579	0.4105994936916804	0.9029621925446406	1115	436	463	6937	11917121	12171882	0.9880627727306708	7400	32557067
772B	all_scaffolds	703.0859113604909	0.999225754173497	0.003584038763424	3909611	1253	1250	713	358.0970821447575	0.1870337122386295	0.9982131214588869	1.0	0.0032950136967931	0.9997640049966368	0.9999174914320488		False	40393.0	130.42804446314955	0.4184133567349284	0.9161534627997574	921	322	355	7250	11016671	11294810	0.9873972210620552	29944599	7605
772C	all_scaffolds	740.1786042140766	0.999159251393553	0.0034826195637302	3909611	1253	1250	746	387.4909246884353	0.2023860838775569	0.99792383436613	1.0	0.003236733769526	0.9997178004118422	0.999887991625772		False	40365.0	137.02422891118545	0.4199050458972355	0.9146701531976468	1101	437	474	6909	11624111	11862126	0.9885041177727584	30717589	7383
772D	all_scaffolds	893.8903428096605	0.9991687968977508	0.00371898049498	3813749	579	579	896	438.5292239230676	0.2279721699354552	0.9984954437221748	1.0	0.003554333000223	0.9997258411280848	0.99991229016933	1.539834555290686	False	65247.0	233.59562891780465	0.4807680209139328	0.9333158891503625	1044	334	355	6393	14119442	14468930	0.9852641070645212	6748	37265854
772E	all_scaffolds	802.3489251652377	0.9805217910250518	0.004864189548284	3813749	579	552	890	593.1705610690433	0.3083634398159618	0.9418031968018872	1.0	0.0041641447346151	0.9923723502499164	0.9942558064881656		False	277446.0	185.21462915306043	0.587789166039938	0.9673301831106216	27397	20632	20358	23093	12119998	13002533	0.9455806260227564	34520731	43451
772F	all_scaffolds	736.8557107455158	0.9727305074350724	0.0058674752195321	3813749	579	554	803	569.9636260797274	0.2962991689796047	0.9244092886028944	1.0	0.0050769781457702	0.9922447109813882	0.9938260626612376		False	218764.0	143.41408092739206	0.5271043516369882	0.9563602550910498	27341	21766	21367	22407	12178603	13450536	0.9379527120546032	43774	32132354
IexuBAH1	all_scaffolds	243.3938443195327	0.991664477241961	0.0075698652350274	3395108	4951	4756	159	1544.8052380909478	0.9813356173016624	0.9727935017089294	1.0	0.0047252550261602	0.9991355659650974	0.9998710161475066		False	149078.0	71.07629563047531	0.3221122370027391	0.8564753637688576	2855	426	284	34608	3860987	4459292	0.9456714295829224	34892	12623068
IexuBAH2	all_scaffolds	66.56086433774713	0.9041143904700528	0.0087346562370952	3395108	4951	4211	44	487.8691217587326	0.3099182563331906	0.8265009537251834	1.0	0.0054038993685256	0.9964794052871284	0.9976226452748694		False	108546.0	55.59032115416505	0.3351304020738574	0.8798392719648921	9879	6671	6341	33469	1081983	1413349	0.8969885079647458	3592411	39810
IexuBAH3	all_scaffolds	80.05274530294766	0.9012923889313684	0.0076332707958766	3395108	4951	4123	53	595.9388083457209	0.3785693911063338	0.8258031850533178	1.0	0.0042645362943991	0.9964536034819814	0.997585325915017		False	105063.0	61.86405299677337	0.3064545063599166	0.8687449510163971	9943	6770	6450	29039	1246417	1539874	0.900347935669138	4128484	35489
